-16.0,-20.8,32.2,-49.0
-16.4,-19.8,34.5,-33.4
-16.6,-18.3,36.7,-15.9
-16.7,-16.5,38.6,2.85
-16.6,-14.5,40.1,22.0
-16.2,-12.2,41.3,40.7
-15.8,-9.95,41.9,58.2
-15.1,-7.69,42.2,73.7
-14.3,-5.55,42.1,86.9
-13.4,-3.58,41.6,97.1
-12.3,-1.83,40.9,104.0
-11.3,-0.336,39.9,108.0
-10.2,0.898,38.8,110.0
-9.05,1.88,37.7,109.0
-7.98,2.62,36.5,105.0
-6.96,3.16,35.3,100.0
-6.0,3.53,34.1,94.3
-5.09,3.78,33.0,87.6
-4.25,3.93,31.9,80.7
-3.47,4.01,30.9,73.8
-2.76,4.04,30.0,67.1
-2.12,4.04,29.1,60.8
-1.54,4.0,28.3,54.9
-1.02,3.95,27.5,49.6
-0.5539999999999999,3.9,26.7,44.9
-0.133,3.86,26.0,40.7
0.252,3.83,25.3,37.0
0.606,3.82,24.7,33.6
0.9309999999999999,3.83,24.1,30.6
1.23,3.86,23.5,27.8
1.5,3.91,23.0,25.2
1.74,3.96,22.4,22.8
1.95,4.03,21.9,20.8
2.15,4.11,21.4,19.2
2.33,4.21,20.9,18.1
2.5,4.33,20.5,17.4
2.67,4.48,20.0,17.2
2.84,4.65,19.6,17.4
3.02,4.85,19.2,17.9
3.21,5.08,18.9,18.8
3.41,5.35,18.6,19.8
3.61,5.63,18.3,21.0
3.82,5.95,18.0,22.2
4.05,6.29,17.8,23.5
4.28,6.67,17.6,24.7
4.54,7.07,17.4,26.0
4.81,7.5,17.3,27.2
5.09,7.96,17.3,28.4
5.38,8.44,17.2,29.7
5.69,8.94,17.2,31.1
6.01,9.45,17.3,32.7
6.34,9.99,17.4,34.5
6.69,10.5,17.6,36.7
7.06,11.1,17.9,39.1
7.47,11.7,18.2,41.7
7.9,12.3,18.7,44.2
8.35,12.9,19.2,46.5
8.83,13.5,19.9,48.4
9.33,14.1,20.6,49.7
9.83,14.7,21.5,50.2
10.3,15.2,22.4,49.9
10.8,15.6,23.5,48.6
11.3,15.9,24.6,46.4
11.8,16.0,25.8,43.2
12.2,16.1,27.0,39.0
12.5,15.9,28.2,33.9
12.8,15.7,29.5,27.9
13.1,15.2,30.7,21.2
13.3,14.7,31.8,13.7
13.4,13.9,32.9,5.67
13.4,13.1,33.8,-2.69
13.3,12.1,34.6,-11.2
13.2,11.1,35.2,-19.6
12.9,10.0,35.6,-27.6
12.6,8.94,35.9,-35.1
12.2,7.89,36.0,-41.8
